地区コード,線区コード,駅順コード,会社名,線区名,駅名,備考,緯度,経度
0,0,0,都営,浅草,西馬込,,0,0
0,0,1,試験,試験,端末試験用 V2,,0,0
0,0,2,試験,試験,端末試験用 V2-01,,0,0
0,0,3,試験,試験,端末試験用 V2-02,,0,0
0,0,4,試験,試験,端末試験用 V3-01-1,,0,0
0,0,5,試験,試験,端末試験用 V3-01-2,,0,0
0,0,6,試験,試験,端末試験用 V4-01,,0,0
0,0,7,試験,試験,端末試験用 V4-01-A,,0,0
0,0,cd,京成,京成本,お花茶屋,,0,0
0,1,1,東日本旅客鉄道,東海道本線,東京,,0,0
0,1,1,東日本旅客鉄道,東海道本,東京,,35.6777222222,139.770527778
0,1,2,東日本旅客鉄道,東海道本,有楽町,,35.6716666667,139.766305556
0,1,3,東日本旅客鉄道,東海道本,新橋,,35.6631111111,139.761361111
0,1,4,東日本旅客鉄道,東海道本,浜松町,,35.6524722222,139.760444444
0,1,6,東日本旅客鉄道,東海道本,田町,,35.6425,139.750916667
0,1,7,東日本旅客鉄道,東海道本,品川,,35.6258611111,139.742138889
0,1,8,東日本旅客鉄道,東海道本,大井町,,35.60375,139.738277778
0,1,9,東日本旅客鉄道,東海道本,大森,,35.5856944444,139.731388889
0,1,b,東日本旅客鉄道,東海道本,蒲田,,35.5592222222,139.719194444
0,1,d,東日本旅客鉄道,東海道本,川崎,,35.5281111111,139.700166667
0,1,e,東日本旅客鉄道,東海道本,鶴見,,35.5055833333,139.6795
0,1,10,東日本旅客鉄道,東海道本,新子安,,35.4835555556,139.657166667
0,1,11,東日本旅客鉄道,東海道本,東神奈川,,35.4746111111,139.636444444
0,1,12,東日本旅客鉄道,東海道本,横浜,,35.4628055556,139.625805556
0,1,14,東日本旅客鉄道,東海道本,保土ヶ谷,,35.4440555556,139.603611111
0,1,15,東日本旅客鉄道,東海道本,東戸塚,,35.4270833333,139.559805556
0,1,16,東日本旅客鉄道,東海道本,戸塚,,35.39725,139.537333333
0,1,18,東日本旅客鉄道,東海道本,大船,,35.3508055556,139.534361111
0,1,19,東日本旅客鉄道,東海道本,藤沢,,35.3354166667,139.490277778
0,1,1a,東日本旅客鉄道,東海道本,辻堂,,35.3335555556,139.449305556
0,1,1b,東日本旅客鉄道,東海道本,茅ヶ崎,,35.3271666667,139.410472222
0,1,1d,東日本旅客鉄道,東海道本,平塚,,35.3241111111,139.352361111
0,1,1e,東日本旅客鉄道,東海道本,大磯,,35.3081944444,139.316638889
0,1,20,東日本旅客鉄道,東海道本,二宮,,35.2952222222,139.259833333
0,1,21,東日本旅客鉄道,東海道本,国府津,,35.2781388889,139.218138889
0,1,22,東日本旅客鉄道,東海道本,鴨宮,,35.2724444444,139.18325
0,1,23,東日本旅客鉄道,東海道本,小田原,,35.253,139.158611111
0,1,25,東日本旅客鉄道,東海道本,早川,,35.2354166667,139.148138889
0,1,26,東日本旅客鉄道,東海道本,根府川,,35.1994166667,139.141861111
0,1,28,東日本旅客鉄道,東海道本,真鶴,,35.1536111111,139.135416667
0,1,29,東日本旅客鉄道,東海道本,湯河原,,35.1429444444,139.105277778
0,1,2b,東日本旅客鉄道,東海道本,熱海,,0,0
0,1,33,東海旅客鉄道,東海道本,函南,,0,0
0,1,35,東海旅客鉄道,東海道本,三島,,0,0
0,1,37,東海旅客鉄道,東海道本,沼津,,0,0
0,1,38,東海旅客鉄道,東海道本,片浜,,0,0
0,1,39,東海旅客鉄道,東海道本,原,,0,0
0,1,3b,東海旅客鉄道,東海道本,東田子の浦,,0,0
0,1,3c,東海旅客鉄道,東海道本,吉原,,0,0
0,1,3e,東海旅客鉄道,東海道本,富士,,0,0
0,1,40,東海旅客鉄道,東海道本,富士川,,0,0
0,1,41,東海旅客鉄道,東海道本,新蒲原,,0,0
0,1,42,東海旅客鉄道,東海道本,蒲原,,0,0
0,1,43,東海旅客鉄道,東海道本,由比,,0,0
0,1,45,東海旅客鉄道,東海道本,興津,,0,0
0,1,47,東海旅客鉄道,東海道本,清水,,0,0
0,1,49,東海旅客鉄道,東海道本,草薙,,0,0
0,1,4b,東海旅客鉄道,東海道本,東静岡,,0,0
0,1,4b,東海旅客鉄道,東海道本,東静岡,,0,0
0,1,4c,東海旅客鉄道,東海道本,静岡,,0,0
0,1,4e,東海旅客鉄道,東海道本,安倍川,,0,0
0,1,4f,東海旅客鉄道,東海道本,用宗,,0,0
0,1,51,東海旅客鉄道,東海道本,焼津,,0,0
0,1,52,東海旅客鉄道,東海道本,西焼津,,0,0
0,1,53,東海旅客鉄道,東海道本,藤枝,,0,0
0,1,55,東海旅客鉄道,東海道本,六合,,0,0
0,1,56,東海旅客鉄道,東海道本,島田,,0,0
0,1,58,東海旅客鉄道,東海道本,金谷,,0,0
0,1,5a,東海旅客鉄道,東海道本,菊川,,0,0
0,1,5c,東海旅客鉄道,東海道本,掛川,,0,0
0,1,5d,東海旅客鉄道,東海道本,愛野,,0,0
0,1,5e,東海旅客鉄道,東海道本,袋井,,0,0
0,1,60,東海旅客鉄道,東海道本,磐田,,0,0
0,1,61,東海旅客鉄道,東海道本,豊田町,,0,0
0,1,62,東海旅客鉄道,東海道本,天竜川,,0,0
0,1,64,東海旅客鉄道,東海道本,浜松,,0,0
0,1,66,東海旅客鉄道,東海道本,高塚,,0,0
0,1,68,東海旅客鉄道,東海道本,舞阪,,0,0
0,1,69,東海旅客鉄道,東海道本,弁天島,,0,0
0,1,6a,東海旅客鉄道,東海道本,新居町,,0,0
0,1,6b,東海旅客鉄道,東海道本,鷲津,,0,0
0,1,6d,東海旅客鉄道,東海道本,新所原,,0,0
0,1,6e,東海旅客鉄道,東海道本,二川,,0,0
0,1,70,東海旅客鉄道,東海道本,豊橋,,0,0
0,1,72,東海旅客鉄道,東海道本,西小坂井,,0,0
0,1,73,東海旅客鉄道,東海道本,愛知御津,,0,0
0,1,74,東海旅客鉄道,東海道本,三河大塚,,0,0
0,1,75,東海旅客鉄道,東海道本,三河三谷,,0,0
0,1,76,東海旅客鉄道,東海道本,蒲郡,,0,0
0,1,77,東海旅客鉄道,東海道本,三河塩津,,0,0
0,1,78,東海旅客鉄道,東海道本,三ヶ根,,0,0
0,1,79,東海旅客鉄道,東海道本,幸田,,0,0
0,1,7c,東海旅客鉄道,東海道本,岡崎,,0,0
0,1,7d,東海旅客鉄道,東海道本,西岡崎,,0,0
0,1,7e,東海旅客鉄道,東海道本,安城,,0,0
0,1,7f,東海旅客鉄道,東海道本,三河安城,,0,0
0,1,80,東海旅客鉄道,東海道本,東刈谷,,0,0
0,1,81,東海旅客鉄道,東海道本,野田新町,,0,0
0,1,82,東海旅客鉄道,東海道本,刈谷,,0,0
0,1,83,東海旅客鉄道,東海道本,逢妻,,0,0
0,1,84,東海旅客鉄道,東海道本,大府,,0,0
0,1,86,東海旅客鉄道,東海道本,共和,,0,0
0,1,87,東海旅客鉄道,東海道本,南大高,,0,0
0,1,88,東海旅客鉄道,東海道本,大高,,0,0
0,1,8a,東海旅客鉄道,東海道本,笠寺,,0,0
0,1,8c,東海旅客鉄道,東海道本,熱田,,0,0
0,1,8d,東海旅客鉄道,東海道本,金山,,0,0
0,1,8e,東海旅客鉄道,東海道本,尾頭橋,,0,0
0,1,90,東海旅客鉄道,東海道本,名古屋,,0,0
0,1,92,東海旅客鉄道,東海道本,枇杷島,,0,0
0,1,94,東海旅客鉄道,東海道本,清洲,,0,0
0,1,96,東海旅客鉄道,東海道本,稲沢,,0,0
0,1,99,東海旅客鉄道,東海道本,尾張一宮,,0,0
0,1,9b,東海旅客鉄道,東海道本,木曽川,,0,0
0,1,9e,東海旅客鉄道,東海道本,岐阜,,0,0
0,1,9f,東海旅客鉄道,東海道本,西岐阜,,0,0
0,1,a1,東海旅客鉄道,東海道本,穂積,,0,0
0,1,a3,東海旅客鉄道,東海道本,大垣,,0,0
0,1,a6,東海旅客鉄道,東海道本,垂井,,0,0
0,1,a8,東海旅客鉄道,東海道本,関ケ原,,0,0
0,1,aa,東海旅客鉄道,東海道本,柏原,,0,0
0,1,ab,東海旅客鉄道,東海道本,近江長岡,,0,0
0,1,ad,東海旅客鉄道,東海道本,醒ヶ井,,0,0
0,1,af,西日本旅客鉄道,東海道本,米原,琵琶湖線,0,0
0,1,b1,西日本旅客鉄道,東海道本,彦根,琵琶湖線,35.2693055556,136.266305556
0,1,b2,西日本旅客鉄道,東海道本,南彦根,琵琶湖線,35.2429444444,136.250916667
0,1,b3,西日本旅客鉄道,東海道本,河瀬,琵琶湖線,35.2221944444,136.228111111
0,1,b5,西日本旅客鉄道,東海道本,稲枝,琵琶湖線,35.2001666667,136.197361111
0,1,b6,西日本旅客鉄道,東海道本,能登川,琵琶湖線,35.1768333333,136.168944444
0,1,b8,西日本旅客鉄道,東海道本,安土,琵琶湖線,35.1392777778,136.136527778
0,1,ba,西日本旅客鉄道,東海道本,近江八幡,琵琶湖線,35.1193888889,136.105416667
0,1,bc,西日本旅客鉄道,東海道本,篠原,琵琶湖線,35.0961944444,136.074694444
0,1,be,西日本旅客鉄道,東海道本,野洲,琵琶湖線,35.0651666667,136.025083333
0,1,c0,西日本旅客鉄道,東海道本,守山,琵琶湖線,35.0471944444,135.998638889
0,1,c1,西日本旅客鉄道,東海道本,栗東,琵琶湖線,35.0343055556,135.983027778
0,1,c2,西日本旅客鉄道,東海道本,草津,琵琶湖線,35.0192777778,135.964222222
0,1,c3,西日本旅客鉄道,東海道本,南草津,琵琶湖線,35.0005277778,135.950111111
0,1,c5,西日本旅客鉄道,東海道本,瀬田,琵琶湖線,34.9841388889,135.928722222
0,1,c6,西日本旅客鉄道,東海道本,石山,琵琶湖線,34.97675,135.902416667
0,1,c7,西日本旅客鉄道,東海道本,膳所,琵琶湖線,34.9961944444,135.883277778
0,1,c8,西日本旅客鉄道,東海道本,大津,琵琶湖線,34.9997222222,135.868222222
0,1,ca,西日本旅客鉄道,東海道本,山科,琵琶湖線,34.9893888889,135.8195
0,1,cc,西日本旅客鉄道,東海道本,京都,京都線・琵琶湖線,34.9819444444,135.761277778
0,1,cd,西日本旅客鉄道,東海道本,西大路,京都線,34.9778611111,135.734611111
0,1,cf,西日本旅客鉄道,東海道本,桂川,京都線,0,0
0,1,d0,西日本旅客鉄道,東海道本,向日町,京都線,34.9516944444,135.712583333
0,1,d2,西日本旅客鉄道,東海道本,長岡京,京都線,34.9201388889,135.703722222
0,1,d5,西日本旅客鉄道,東海道本,山崎,京都線,34.8891111111,135.682166667
0,1,d6,西日本旅客鉄道,東海道本,島本,京都線,0,0
0,1,d8,西日本旅客鉄道,東海道本,高槻,京都線,34.8480555556,135.619972222
0,1,db,西日本旅客鉄道,東海道本,摂津富田,京都線,34.8345,135.596194444
0,1,dd,西日本旅客鉄道,東海道本,茨木,京都線,34.8119444444,135.564888889
0,1,e0,西日本旅客鉄道,東海道本,千里丘,京都線,34.7883888889,135.554277778
0,1,e1,西日本旅客鉄道,東海道本,岸辺,京都線,34.7736944444,135.544083333
0,1,e2,西日本旅客鉄道,東海道本,吹田,京都線,34.7599444444,135.526472222
0,1,e5,西日本旅客鉄道,東海道本,東淀川,京都線,34.7360555556,135.506833333
0,1,e6,西日本旅客鉄道,東海道本,新大阪,京都線,34.7305833333,135.504222222
0,1,e8,西日本旅客鉄道,東海道本,大阪,京都線・神戸線,34.7305833333,135.504222222
0,1,ea,西日本旅客鉄道,東海道本,塚本,神戸線,34.7093333333,135.471777778
0,1,ec,西日本旅客鉄道,東海道本,尼崎,神戸線,34.7286111111,135.434583333
0,1,ee,西日本旅客鉄道,東海道本,立花,神戸線,34.7345833333,135.402444444
0,1,ef,西日本旅客鉄道,東海道本,甲子園口,神戸線,34.7357222222,135.377111111
0,1,f1,西日本旅客鉄道,東海道本,西宮,神戸線,34.7357777778,135.350722222
0,1,f2,西日本旅客鉄道,東海道本,さくら夙川,神戸線,0,0
0,1,f3,西日本旅客鉄道,東海道本,芦屋,神戸線,34.7310277778,135.31025
0,1,f4,西日本旅客鉄道,東海道本,甲南山手,神戸線,34.7272777778,135.295
0,1,f6,西日本旅客鉄道,東海道本,摂津本山,神戸線,34.7235,135.280166667
0,1,f7,西日本旅客鉄道,東海道本,住吉,神戸線,34.7163333333,135.264833333
0,1,f8,西日本旅客鉄道,東海道本,六甲道,神戸線,34.7116388889,135.241222222
0,1,fa,西日本旅客鉄道,東海道本,灘,神戸線,34.7026666667,135.219333333
0,1,fb,西日本旅客鉄道,東海道本,三ノ宮,神戸線,34.6913055556,135.197611111
0,1,fc,西日本旅客鉄道,東海道本,元町,神戸線,34.6863888889,135.190138889
0,1,fd,西日本旅客鉄道,東海道本,神戸,神戸線,34.676,135.181027778
0,2,1,東日本旅客鉄道,東北本,東京,,0,0
0,2,2,東日本旅客鉄道,東北本,神田,,0,0
0,2,3,東日本旅客鉄道,東北本,秋葉原,,0,0
0,2,4,東日本旅客鉄道,東北本,御徒町,,0,0
0,2,6,東日本旅客鉄道,東北本,上野,,0,0
0,2,7,東日本旅客鉄道,東北本,鴬谷,,0,0
0,2,8,東日本旅客鉄道,東北本,日暮里,,0,0
0,2,9,東日本旅客鉄道,東北本,西日暮里,,0,0
0,2,b,東日本旅客鉄道,東北本,田端,,0,0
0,2,c,東日本旅客鉄道,東北本,上中里,,0,0
0,2,d,東日本旅客鉄道,東北本,王子,,0,0
0,2,e,東日本旅客鉄道,東北本,東十条,,0,0
0,2,10,東日本旅客鉄道,東北本,赤羽,,0,0
0,2,11,東日本旅客鉄道,東北本,川口,,0,0
0,2,12,東日本旅客鉄道,東北本,西川口,,0,0
0,2,13,東日本旅客鉄道,東北本,蕨,,0,0
0,2,15,東日本旅客鉄道,東北本,南浦和,,0,0
0,2,16,東日本旅客鉄道,東北本,浦和,,0,0
0,2,17,東日本旅客鉄道,東北本,北浦和,,0,0
0,2,18,東日本旅客鉄道,東北本,与野,,0,0
0,2,19,東日本旅客鉄道,東北本,さいたま新都心,,0,0
0,2,1a,東日本旅客鉄道,東北本,大宮,,0,0
0,2,1b,東日本旅客鉄道,東北本,土呂,,0,0
0,2,1c,東日本旅客鉄道,東北本,東大宮,,0,0
0,2,1e,東日本旅客鉄道,東北本,蓮田,,0,0
0,2,20,東日本旅客鉄道,東北本,白岡,,0,0
0,2,21,東日本旅客鉄道,東北本,新白岡,,0,0
0,2,22,東日本旅客鉄道,東北本,久喜,,0,0
0,2,23,東日本旅客鉄道,東北本,東鷲宮,,0,0
0,2,24,東日本旅客鉄道,東北本,栗橋,,0,0
0,2,26,東日本旅客鉄道,東北本,古河,,0,0
0,2,27,東日本旅客鉄道,東北本,野木,,0,0
0,2,28,東日本旅客鉄道,東北本,間々田,,0,0
0,2,2a,東日本旅客鉄道,東北本,小山,,0,0
0,2,2c,東日本旅客鉄道,東北本,小金井,,0,0
0,2,2d,東日本旅客鉄道,東北本,自治医大,,0,0
0,2,2e,東日本旅客鉄道,東北本,石橋,,0,0
0,2,30,東日本旅客鉄道,東北本,雀宮,,0,0
0,2,32,東日本旅客鉄道,東北本,宇都宮,,0,0
0,2,34,東日本旅客鉄道,東北本,岡本,,0,0
0,2,35,東日本旅客鉄道,東北本,宝積寺,,0,0
0,2,36,東日本旅客鉄道,東北本,氏家,,0,0
0,2,37,東日本旅客鉄道,東北本,蒲須坂,,0,0
0,2,39,東日本旅客鉄道,東北本,片岡,,0,0
0,2,3a,東日本旅客鉄道,東北本,矢板,,0,0
0,2,3b,東日本旅客鉄道,東北本,野崎,,0,0
0,2,3c,東日本旅客鉄道,東北本,西那須野,,0,0
0,2,3e,東日本旅客鉄道,東北本,那須塩原,,0,0
0,2,3f,東日本旅客鉄道,東北本,黒磯,,0,0
0,2,40,東日本旅客鉄道,東北本,高久,,0,0
0,2,41,東日本旅客鉄道,東北本,黒田原,,0,0
0,2,43,東日本旅客鉄道,東北本,豊原,,0,0
0,2,44,東日本旅客鉄道,東北本,白坂,,0,0
0,2,45,東日本旅客鉄道,東北本,新白河,,0,0
0,2,46,東日本旅客鉄道,東北本,白河,,0,0
0,2,48,東日本旅客鉄道,東北本,久田野,,0,0
0,2,49,東日本旅客鉄道,東北本,泉崎,,0,0
0,2,4a,東日本旅客鉄道,東北本,矢吹,,0,0
0,2,4b,東日本旅客鉄道,東北本,鏡石,,0,0
0,2,4d,東日本旅客鉄道,東北本,須賀川,,0,0
0,2,4e,東日本旅客鉄道,東北本,安積永盛,,0,0
0,2,4f,東日本旅客鉄道,東北本,郡山,,0,0
0,2,50,東日本旅客鉄道,東北本,日和田,,0,0
0,2,52,東日本旅客鉄道,東北本,五百川,,0,0
0,2,53,東日本旅客鉄道,東北本,本宮,,0,0
0,2,54,東日本旅客鉄道,東北本,杉田,,0,0
0,2,55,東日本旅客鉄道,東北本,二本松,,0,0
0,2,57,東日本旅客鉄道,東北本,安達,,0,0
0,2,58,東日本旅客鉄道,東北本,松川,,0,0
0,2,59,東日本旅客鉄道,東北本,金谷川,,0,0
0,2,5b,東日本旅客鉄道,東北本,南福島,,0,0
0,2,5c,東日本旅客鉄道,東北本,福島,,0,0
0,2,5e,東日本旅客鉄道,東北本,東福島,,0,0
0,2,5f,東日本旅客鉄道,東北本,伊達,,0,0
0,2,60,東日本旅客鉄道,東北本,桑折,,0,0
0,2,61,東日本旅客鉄道,東北本,藤田,,0,0
0,2,63,東日本旅客鉄道,東北本,貝田,,0,0
0,2,64,東日本旅客鉄道,東北本,越河,,0,0
0,2,66,東日本旅客鉄道,東北本,白石,,0,0
0,2,67,東日本旅客鉄道,東北本,東白石,,0,0
0,2,68,東日本旅客鉄道,東北本,北白川,,0,0
0,2,69,東日本旅客鉄道,東北本,大河原,,0,0
0,2,6b,東日本旅客鉄道,東北本,船岡,,0,0
0,2,6c,東日本旅客鉄道,東北本,槻木,,0,0
0,2,6d,東日本旅客鉄道,東北本,岩沼,,0,0
0,2,6e,東日本旅客鉄道,東北本,館腰,,0,0
0,2,6f,東日本旅客鉄道,東北本,名取,,0,0
0,2,70,東日本旅客鉄道,東北本,南仙台,,0,0
0,2,71,東日本旅客鉄道,東北本,太子堂,,0,0
0,2,72,東日本旅客鉄道,東北本,長町,,0,0
0,2,73,東日本旅客鉄道,東北本,仙台,,0,0
0,2,73,東日本旅客鉄道,東北本,仙台,,0,0
0,2,75,東日本旅客鉄道,東北本,東仙台,,0,0
0,2,76,東日本旅客鉄道,東北本,岩切,,0,0
0,2,77,東日本旅客鉄道,東北本,陸前山王,,0,0
0,2,78,東日本旅客鉄道,東北本,国府多賀城,,0,0
0,2,79,東日本旅客鉄道,東北本,塩釜,,0,0
0,2,7a,東日本旅客鉄道,東北本,松島,,0,0
0,2,7b,東日本旅客鉄道,東北本,愛宕,,0,0
0,2,7c,東日本旅客鉄道,東北本,品井沼,,0,0
0,2,7e,東日本旅客鉄道,東北本,鹿島台,,0,0
0,2,7f,東日本旅客鉄道,東北本,松山町,,0,0
0,2,80,東日本旅客鉄道,東北本,小牛田,,0,0
0,2,82,東日本旅客鉄道,東北本,田尻,,0,0
0,2,84,東日本旅客鉄道,東北本,瀬峰,,0,0
0,2,85,東日本旅客鉄道,東北本,梅ヶ沢,,0,0
0,2,86,東日本旅客鉄道,東北本,新田,,0,0
0,2,88,東日本旅客鉄道,東北本,石越,,0,0
0,2,89,東日本旅客鉄道,東北本,油島,,0,0
0,2,8a,東日本旅客鉄道,東北本,花泉,,0,0
0,2,8b,東日本旅客鉄道,東北本,清水原,,0,0
0,2,8d,東日本旅客鉄道,東北本,有壁,,0,0
0,2,8f,東日本旅客鉄道,東北本,一ノ関,,0,0
0,2,90,東日本旅客鉄道,東北本,山ノ目,,0,0
0,2,91,東日本旅客鉄道,東北本,平泉,,0,0
0,2,92,東日本旅客鉄道,東北本,前沢,,0,0
0,2,94,東日本旅客鉄道,東北本,陸中折居,,0,0
0,2,95,東日本旅客鉄道,東北本,水沢,,0,0
0,2,96,東日本旅客鉄道,東北本,金ヶ崎,,0,0
0,2,97,東日本旅客鉄道,東北本,六原,,0,0
0,2,99,東日本旅客鉄道,東北本,北上,,0,0
0,2,9a,東日本旅客鉄道,東北本,村崎野,,0,0
0,2,9b,東日本旅客鉄道,東北本,花巻,,0,0
0,2,9c,東日本旅客鉄道,東北本,花巻空港,,0,0
0,2,9e,東日本旅客鉄道,東北本,石鳥谷,,0,0
0,2,9f,東日本旅客鉄道,東北本,日詰,,0,0
0,2,a0,東日本旅客鉄道,東北本,古館,,0,0
0,2,a1,東日本旅客鉄道,東北本,矢幅,,0,0
0,2,a3,東日本旅客鉄道,東北本,岩手飯岡,,0,0
0,2,a4,東日本旅客鉄道,東北本,仙北町,,0,0
0,2,a5,東日本旅客鉄道,東北本,盛岡,,0,0
0,2,a6,IGRいわて銀河鉄道,いわて銀河鉄道,廚川,旧JR東北本線,0,0
0,2,a6,IGRいわて銀河鉄道,いわて銀河鉄道,厨川,,0,0
0,2,a8,IGRいわて銀河鉄道,いわて銀河鉄道,滝沢,旧JR東北本線,0,0
0,2,a9,IGRいわて銀河鉄道,いわて銀河鉄道,渋民,旧JR東北本線,0,0
0,2,aa,IGRいわて銀河鉄道,いわて銀河鉄道,好摩,旧JR東北本線,0,0
0,2,ab,IGRいわて銀河鉄道,いわて銀河鉄道,岩手川口,旧JR東北本線,0,0
0,2,ad,IGRいわて銀河鉄道,いわて銀河鉄道,いわて沼宮内,旧JR東北本線,0,0
0,2,ae,IGRいわて銀河鉄道,いわて銀河鉄道,御堂,旧JR東北本線,0,0
0,2,af,IGRいわて銀河鉄道,いわて銀河鉄道,奥中山,旧JR東北本線,0,0
0,2,b0,IGRいわて銀河鉄道,いわて銀河鉄道,小繋,旧JR東北本線,0,0
0,2,b2,IGRいわて銀河鉄道,いわて銀河鉄道,小鳥谷,旧JR東北本線,0,0
0,2,b3,IGRいわて銀河鉄道,いわて銀河鉄道,一戸,旧JR東北本線,0,0
0,2,b4,IGRいわて銀河鉄道,いわて銀河鉄道,二戸,旧JR東北本線,0,0
0,2,b5,IGRいわて銀河鉄道,いわて銀河鉄道,斗米,旧JR東北本線,0,0
0,2,b7,IGRいわて銀河鉄道,いわて銀河鉄道,金田一温泉,旧JR東北本線,0,0
0,2,b8,IGRいわて銀河鉄道,いわて銀河鉄道,目時,旧JR東北本線,0,0
0,2,b9,青い森鉄道,青い森鉄道,三戸,旧JR東北本線,0,0
0,2,ba,青い森鉄道,青い森鉄道,諏訪ノ平,旧JR東北本線,0,0
0,2,bc,青い森鉄道,青い森鉄道,剣吉,旧JR東北本線,0,0
0,2,bd,青い森鉄道,青い森鉄道,苫米地,旧JR東北本線,0,0
0,2,be,青い森鉄道,青い森鉄道,北高岩,旧JR東北本線,0,0
0,2,bf,東日本旅客鉄道,東北本,八戸,,0,0
0,2,c1,東日本旅客鉄道,東北本,陸奥市川,,0,0
0,2,c2,東日本旅客鉄道,東北本,下田,,0,0
0,2,c3,東日本旅客鉄道,東北本,向山,,0,0
0,2,c4,東日本旅客鉄道,東北本,三沢,,0,0
0,2,c6,東日本旅客鉄道,東北本,小川原,,0,0
0,2,c7,東日本旅客鉄道,東北本,上北町,,0,0
0,2,c8,東日本旅客鉄道,東北本,乙供,,0,0
0,2,c9,東日本旅客鉄道,東北本,千曳,,0,0
0,2,ca,東日本旅客鉄道,東北新幹,七戸十和田,,0,0
0,2,cb,東日本旅客鉄道,東北本,野辺地,,0,0
0,2,cc,東日本旅客鉄道,東北本,狩湯沢,,0,0
0,2,cd,東日本旅客鉄道,東北本,清水川,,0,0
0,2,ce,東日本旅客鉄道,東北本,小湊,,0,0
0,2,d0,東日本旅客鉄道,東北本,西平内,,0,0
0,2,d1,東日本旅客鉄道,東北本,浅虫温泉,,0,0
0,2,d2,東日本旅客鉄道,東北本,野内,,0,0
0,2,d4,東日本旅客鉄道,東北本,矢田前,,0,0
0,2,d5,東日本旅客鉄道,東北本,小柳,,0,0
0,2,d6,東日本旅客鉄道,東北本,東青森,,0,0
0,2,d8,東日本旅客鉄道,東北本,青森,,0,0
0,2,fc,東日本旅客鉄道,携帯端末,携帯端末,,0,0
0,2,fd,東日本旅客鉄道,モバイルSuica,モバイルSuica,,0,0
0,2,fe,東日本旅客鉄道,Suicaインターネットサービス,Suicaインターネットサービス,,0,0
0,2,ff,東日本旅客鉄道,臨時窓口,臨時窓口,,0,0
0,3,1,東日本旅客鉄道,中央本,東京,,0,0
0,3,2,東日本旅客鉄道,中央本,神田,,0,0
0,3,3,東日本旅客鉄道,中央本,御茶ノ水,,0,0
0,3,4,東日本旅客鉄道,中央本,水道橋,,0,0
0,3,6,東日本旅客鉄道,中央本,飯田橋,,0,0
0,3,7,東日本旅客鉄道,中央本,市ヶ谷,,0,0
0,3,8,東日本旅客鉄道,中央本,四ツ谷,,0,0
0,3,9,東日本旅客鉄道,中央本,信濃町,,0,0
0,3,b,東日本旅客鉄道,中央本,千駄ヶ谷,,0,0
0,3,c,東日本旅客鉄道,中央本,代々木,,0,0
0,3,d,東日本旅客鉄道,中央本,新宿,,0,0
0,3,e,東日本旅客鉄道,中央本,大久保,,0,0
0,3,10,東日本旅客鉄道,中央本,東中野,,0,0
0,3,11,東日本旅客鉄道,中央本,中野,,0,0
0,3,12,東日本旅客鉄道,中央本,高円寺,,0,0
0,3,13,東日本旅客鉄道,中央本,阿佐ヶ谷,,0,0
0,3,15,東日本旅客鉄道,中央本,荻窪,,0,0
0,3,16,東日本旅客鉄道,中央本,西荻窪,,0,0
0,3,17,東日本旅客鉄道,中央本,吉祥寺,,0,0
0,3,18,東日本旅客鉄道,中央本,三鷹,,0,0
0,3,1a,東日本旅客鉄道,中央本,武蔵境,,0,0
0,3,1b,東日本旅客鉄道,中央本,東小金井,,0,0
0,3,1c,東日本旅客鉄道,中央本,武蔵小金井,,0,0
0,3,1d,東日本旅客鉄道,中央本,国分寺,,0,0
0,3,1f,東日本旅客鉄道,中央本,西国分寺,,0,0
0,3,20,東日本旅客鉄道,中央本,国立,,0,0
0,3,22,東日本旅客鉄道,中央本,立川,,0,0
0,3,24,東日本旅客鉄道,中央本,日野,,0,0
0,3,25,東日本旅客鉄道,中央本,豊田,,0,0
0,3,27,東日本旅客鉄道,中央本,八王子,,0,0
0,3,27,東日本旅客鉄道,中央本,八王子,,0,0
0,3,28,東日本旅客鉄道,中央本,西八王子,,0,0
0,3,29,東日本旅客鉄道,中央本,高尾,,0,0
0,3,2a,東日本旅客鉄道,中央本,相模湖,,0,0
0,3,2c,東日本旅客鉄道,中央本,藤野,,0,0
0,3,2d,東日本旅客鉄道,中央本,上野原,,0,0
0,3,2e,東日本旅客鉄道,中央本,四方津,,0,0
0,3,2f,東日本旅客鉄道,中央本,梁川,,0,0
0,3,31,東日本旅客鉄道,中央本,鳥沢,,0,0
0,3,32,東日本旅客鉄道,中央本,猿橋,,0,0
0,3,33,東日本旅客鉄道,中央本,大月,,0,0
0,3,35,東日本旅客鉄道,中央本,初狩,,0,0
0,3,37,東日本旅客鉄道,中央本,笹子,,0,0
0,3,39,東日本旅客鉄道,中央本,甲斐大和,旧 初鹿子,0,0
0,3,3b,東日本旅客鉄道,中央本,勝沼ぶどう郷,旧 勝沼,0,0
0,3,3c,東日本旅客鉄道,中央本,塩山,,0,0
0,3,3d,東日本旅客鉄道,中央本,東山梨,,0,0
0,3,3e,東日本旅客鉄道,中央本,山梨市,,0,0
0,3,40,東日本旅客鉄道,中央本,春日居町,旧 別田,0,0
0,3,41,東日本旅客鉄道,中央本,石和温泉,,0,0
0,3,42,東日本旅客鉄道,中央本,酒折,,0,0
0,3,43,東日本旅客鉄道,中央本,甲府,,0,0
0,3,45,東日本旅客鉄道,中央本,竜王,,0,0
0,3,46,東日本旅客鉄道,中央本,塩崎,,0,0
0,3,47,東日本旅客鉄道,中央本,韮崎,,0,0
